Species,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Thick-billed Warbler,0.0241379,0.0166113,0.0347003,0.0272953,0.0412698,0.0416667,0.0343348,0.0327381,0.0511811,0.0461538,0.0359281,0.0374065
Booted Warbler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014881,0.015748,0.0115385,0.008982,0.0124688
Iduna sp.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002994,0.0
Black-browed Reed Warbler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029762,0.007874,0.0,0.008982,0.0
Paddyfield Warbler,0.0,0.0033223,0.0031546,0.0024814,0.0190476,0.0113636,0.0085837,0.0208333,0.0472441,0.0269231,0.0628743,0.032419
Blyth's Reed Warbler,0.0206897,0.0265781,0.0504732,0.0322581,0.0698413,0.0833333,0.0772532,0.110119,0.0787402,0.0653846,0.0658683,0.0648379
Paddyfield/Blyth's Reed Warbler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clamorous Reed Warbler,0.0103448,0.013289,0.022082,0.0223325,0.0349206,0.0530303,0.0472103,0.0565476,0.0708661,0.0576923,0.0598802,0.042394
Acrocephalus sp.,0.0034483,0.0066445,0.0094637,0.0024814,0.0063492,0.0,0.0042918,0.0029762,0.0,0.0,0.005988,0.0
Iduna/Hippolais/Acrocephalus sp.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003937,0.0,0.0,0.0
Pallas's Grasshopper Warbler,0.0,0.0,0.0,0.0,0.0,0.0075758,0.0085837,0.0029762,0.019685,0.0076923,0.005988,0.0024938
Lanceolated Warbler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Common Grasshopper Warbler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Baikal Bush Warbler,0.0,0.0,0.0,0.0,0.0,0.0075758,0.0,0.0059524,0.011811,0.0076923,0.002994,0.0
West Himalayan Bush Warbler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spotted Bush Warbler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059524,0.0,0.0,0.002994,0.0
Baikal/Spotted Bush Warbler,0.0,0.0,0.0,0.0,0.0,0.0037879,0.0,0.0,0.0,0.0,0.005988,0.0
Locustella sp.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Helopsaltes/Locustella sp.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029762,0.0,0.0,0.0,0.0
Bristled Grassbird,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Striated Grassbird,0.0586207,0.0664452,0.0914826,0.0967742,0.0857143,0.1136364,0.0729614,0.0952381,0.1220472,0.1076923,0.1257485,0.1047382
Gray-throated Martin,0.0034483,0.0232558,0.0189274,0.0347395,0.015873,0.0416667,0.0257511,0.0267857,0.0551181,0.05,0.0419162,0.0274314
Bank Swallow,0.0,0.0066445,0.0094637,0.0148883,0.015873,0.0113636,0.0171674,0.0535714,0.0511811,0.0230769,0.0628743,0.042394
Pale Martin,0.0,0.0,0.0,0.0,0.0,0.0037879,0.0,0.0029762,0.003937,0.0,0.0,0.0
Barn Swallow,0.2862069,0.2990033,0.2712934,0.1687345,0.0952381,0.094697,0.1201717,0.1428571,0.2047244,0.2115385,0.242515,0.2369077
Eastern Red-rumped Swallow,0.1310345,0.1395349,0.1198738,0.0372208,0.0095238,0.0075758,0.0,0.0119048,0.019685,0.0192308,0.0538922,0.0199501
Streak-throated Swallow,0.0,0.0,0.0,0.0024814,0.0,0.0,0.0,0.0,0.0,0.0,0.011976,0.0049875
swallow sp.,0.0206897,0.0066445,0.0,0.0024814,0.0,0.0,0.0042918,0.0059524,0.0,0.0115385,0.002994,0.0074813
White-throated Bulbul,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cachar Bulbul,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ashy Bulbul,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black-headed Bulbul,0.0,0.0,0.0031546,0.0024814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024938
Black-crested Bulbul,0.0,0.0033223,0.0,0.0,0.0031746,0.0,0.0042918,0.0,0.0015,0.0153846,0.002994,0.0
Red-whiskered Bulbul,0.0068966,0.0066445,0.0126183,0.0074442,0.015873,0.0113636,0.0214592,0.014881,0.011811,0.0192308,0.005988,0.0099751
Red-vented Bulbul,0.5103448,0.6644518,0.6466877,0.5880893,0.5174603,0.594697,0.5751073,0.5625,0.5393701,0.4846154,0.5538922,0.5486284
Yellow-browed Warbler,0.0172414,0.0166113,0.0757098,0.0818859,0.152381,0.1363636,0.1244635,0.0892857,0.0787402,0.0538462,0.0778443,0.0523691
Yellow-browed/Hume's Warbler,0.0,0.0,0.0031546,0.0,0.0031746,0.0,0.0,0.0,0.0,0.0,0.002994,0.0
Lemon-rumped Warbler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0
Tickell's Leaf Warbler,0.0,0.0033223,0.0,0.0024814,0.0031746,0.0037879,0.0042918,0.0089286,0.007874,0.0038462,0.008982,0.0074813
Dusky Warbler,0.0310345,0.0664452,0.0662461,0.0769231,0.1015873,0.1136364,0.1030043,0.125,0.1220472,0.1,0.1437126,0.0922693
Common Chiffchaff,0.0,0.0,0.0,0.0,0.0,0.0113636,0.0042918,0.0015,0.015748,0.0269231,0.0359281,0.0074813
White-spectacled Warbler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0
Green-crowned Warbler,0.0,0.0,0.0,0.0024814,0.0095238,0.0075758,0.0085837,0.014881,0.019685,0.0269231,0.011976,0.0074813
Whistler's Warbler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059524,0.0015,0.0115385,0.002994,0.0
Phylloscopus sp. (Golden-spectacled Warbler complex),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Green Warbler,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greenish Warbler,0.0206897,0.0299003,0.0599369,0.0372208,0.0603175,0.0606061,0.0858369,0.0654762,0.0314961,0.0307692,0.0329341,0.0149626
Large-billed Leaf Warbler,0.0,0.0,0.0,0.0,0.0,0.0037879,0.0,0.0,0.003937,0.0038462,0.002994,0.0024938
Chestnut-crowned Warbler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yellow-vented Warbler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0089286,0.0,0.0,0.0,0.0
Blyth's Leaf Warbler,0.0,0.0033223,0.0,0.0024814,0.0063492,0.0,0.0085837,0.0059524,0.003937,0.0153846,0.0015,0.0024938
Phylloscopus sp.,0.0,0.0066445,0.0063091,0.0074442,0.0,0.0075758,0.0042918,0.0059524,0.007874,0.0076923,0.005988,0.0074813
Gray-bellied Tesia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0
Yellow-bellied Warbler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lesser Whitethroat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indian White-eye,0.0137931,0.0066445,0.0157729,0.0099256,0.0126984,0.0151515,0.0214592,0.0357143,0.0354331,0.0192308,0.008982,0.0149626
Pin-striped Tit-Babbler,0.0,0.0,0.0031546,0.0024814,0.0031746,0.0,0.0042918,0.0,0.0,0.0,0.0,0.0
Puff-throated Babbler,0.0,0.0066445,0.0,0.0024814,0.0,0.0037879,0.0042918,0.0,0.003937,0.0115385,0.0,0.0
Abbott's Babbler,0.0,0.0099668,0.0,0.0024814,0.0031746,0.0,0.0,0.0029762,0.007874,0.0115385,0.0,0.0024938
Brown-cheeked Fulvetta,0.0,0.0,0.0,0.0024814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nepal Fulvetta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jungle Babbler,0.1,0.1295681,0.1419558,0.133995,0.1650794,0.1287879,0.2017167,0.1815476,0.1377953,0.1692308,0.1377246,0.1321696
Striated Babbler,0.0172414,0.0199336,0.0283912,0.0397022,0.0380952,0.0606061,0.0343348,0.0416667,0.0708661,0.0384615,0.0419162,0.0224439
Lesser Necklaced Laughingthrush,0.0,0.0033223,0.0,0.0,0.0,0.0,0.0042918,0.0,0.0,0.0038462,0.002994,0.0
White-crested Laughingthrush,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rufous-necked Laughingthrush,0.0034483,0.0033223,0.0,0.0024814,0.0,0.0,0.0042918,0.0,0.0,0.0,0.008982,0.0
Greater Necklaced Laughingthrush,0.0034483,0.0033223,0.0,0.0,0.0,0.0,0.0042918,0.0,0.0,0.0076923,0.002994,0.0
Velvet-fronted Nuthatch,0.0,0.0,0.0,0.0,0.0031746,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asian Glossy Starling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0
Common Hill Myna,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038462,0.0,0.0024938
European Starling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0089286,0.003937,0.0076923,0.005988,0.0074813
Daurian Starling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indian Pied Starling,0.5413793,0.6146179,0.6403785,0.6327543,0.5492063,0.5378788,0.5665236,0.5654762,0.484252,0.5153846,0.5508982,0.5486284
Brahminy Starling,0.0,0.0,0.0,0.0,0.0,0.0,0.0042918,0.0029762,0.0,0.0,0.002994,0.0024938
Chestnut-tailed Starling,0.2965517,0.3521595,0.3785489,0.3473945,0.3269841,0.3143939,0.4077253,0.3184524,0.2519685,0.3,0.2814371,0.3067332
Common Myna,0.5827586,0.6478405,0.6214511,0.573201,0.6,0.5795455,0.6223176,0.6190476,0.5393701,0.5538462,0.5658683,0.5610973
Bank Myna,0.0344828,0.0598007,0.0725552,0.0545906,0.0634921,0.0606061,0.055794,0.0922619,0.0748031,0.05,0.0838323,0.0773067
Jungle Myna,0.2965517,0.3953488,0.340694,0.3473945,0.3555556,0.3143939,0.4334764,0.3839286,0.3425197,0.3846154,0.3083832,0.3466334
Great Myna,0.0,0.0,0.0,0.0,0.0,0.0,0.0042918,0.0,0.0,0.0115385,0.008982,0.0
myna/starling sp.,0.0,0.0,0.0,0.0,0.0031746,0.0,0.0,0.0,0.0,0.0,0.0,0.0015
Dark-sided Thrush,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0
Scaly Thrush,0.0,0.0,0.0,0.0,0.0063492,0.0113636,0.0128755,0.0238095,0.007874,0.0115385,0.008982,0.0074813
Purple Cochoa,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Orange-headed Thrush,0.0275862,0.0863787,0.044164,0.0322581,0.0253968,0.0265152,0.0214592,0.0446429,0.0393701,0.0346154,0.008982,0.0199501
Tickell's Thrush,0.0,0.0,0.0031546,0.0099256,0.015873,0.0075758,0.0042918,0.0029762,0.011811,0.0038462,0.0,0.0099751
Black-breasted Thrush,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eyebrowed Thrush,0.0,0.0,0.0,0.0024814,0.0031746,0.0,0.0,0.0,0.0,0.0,0.0,0.0
White-collared Blackbird,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black-throated Thrush,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Turdus sp.,0.0,0.0,0.0,0.0024814,0.0,0.0,0.0,0.0029762,0.0,0.0,0.0,0.0
Dark-sided Flycatcher,0.0,0.0033223,0.0,0.0049628,0.0031746,0.0037879,0.0,0.0,0.0,0.0,0.0,0.0
Asian Brown Flycatcher,0.0,0.0066445,0.0063091,0.0,0.0031746,0.0037879,0.0,0.0,0.0,0.0038462,0.0,0.0
Brown-breasted Flycatcher,0.0034483,0.0,0.0031546,0.0,0.0031746,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Muscicapa sp.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oriental Magpie-Robin,0.4862069,0.627907,0.615142,0.5806452,0.5365079,0.530303,0.5622318,0.5505952,0.476378,0.5,0.5239521,0.5586035
White-rumped Shama,0.0,0.0066445,0.0,0.0024814,0.0031746,0.0,0.0042918,0.0029762,0.003937,0.0038462,0.0,0.0
Small Niltava,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003937,0.0,0.0,0.0
Rufous-bellied Niltava,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003937,0.0,0.0,0.0
Verditer Flycatcher,0.0,0.0,0.0,0.0074442,0.015873,0.0265152,0.0128755,0.0119048,0.007874,0.0153846,0.0149701,0.0124688
Pale-chinned Flycatcher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0038462,0.0,0.0
Pale Blue Flycatcher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blue-throated Flycatcher,0.0,0.0033223,0.0031546,0.0,0.0095238,0.0,0.0042918,0.0089286,0.0015,0.0038462,0.0,0.0024938
Cyornis sp.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029762,0.0,0.0,0.0,0.0
Lesser Shortwing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0076923,0.0,0.0
Indian Blue Robin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Siberian Blue Robin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038462,0.0,0.0
Bluethroat,0.0,0.0,0.0,0.0024814,0.0,0.0075758,0.0171674,0.0208333,0.0393701,0.0269231,0.0479042,0.0199501
Blue Whistling-Thrush,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Siberian Rubythroat,0.0,0.0,0.0063091,0.0074442,0.0222222,0.0265152,0.0128755,0.0238095,0.0433071,0.0307692,0.0449102,0.0523691
Chinese Rubythroat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003937,0.0153846,0.0269461,0.0049875
White-tailed Robin,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0015,0.0038462,0.0,0.0
Slaty-blue Flycatcher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038462,0.0,0.0
Snowy-browed Flycatcher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0038462,0.0,0.0
Rufous-gorgeted Flycatcher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0
Little Pied Flycatcher,0.0,0.0,0.0,0.0,0.0031746,0.0,0.0,0.0089286,0.003937,0.0115385,0.0,0.0
Ultramarine Flycatcher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taiga Flycatcher,0.1103448,0.1627907,0.2050473,0.1736973,0.2412698,0.2537879,0.2103004,0.1875,0.1377953,0.1653846,0.1826347,0.1670823
Red-breasted Flycatcher,0.0,0.0,0.0,0.0,0.0444444,0.0151515,0.0,0.0,0.0,0.0,0.0,0.0
Taiga/Red-breasted Flycatcher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blue-fronted Redstart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015
Black Redstart,0.0,0.0,0.0063091,0.0,0.0031746,0.0,0.0042918,0.0029762,0.003937,0.0038462,0.0,0.0074813
Blue-capped Rock-Thrush,0.0034483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blue Rock-Thrush,0.0034483,0.0015,0.0,0.0,0.0031746,0.0037879,0.0,0.0,0.007874,0.0076923,0.0,0.0024938
Siberian Stonechat,0.0344828,0.0431894,0.0662461,0.057072,0.0507937,0.0681818,0.0686695,0.0565476,0.0669291,0.0923077,0.0778443,0.0673317
White-tailed Stonechat,0.0,0.0066445,0.0063091,0.0124069,0.0095238,0.0113636,0.0085837,0.0297619,0.023622,0.0,0.0149701,0.0049875
Pied Bushchat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007874,0.0076923,0.0,0.0124688
Yellow-vented Flowerpecker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Orange-bellied Flowerpecker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pale-billed Flowerpecker,0.1137931,0.0996678,0.1072555,0.0843672,0.0984127,0.0871212,0.0815451,0.110119,0.0669291,0.0461538,0.0449102,0.0399002
Fire-breasted Flowerpecker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scarlet-backed Flowerpecker,0.0,0.0033223,0.0,0.0,0.0031746,0.0,0.0042918,0.0,0.0015,0.0115385,0.0,0.0
flowerpecker sp.,0.0,0.0,0.0031546,0.0049628,0.0,0.0075758,0.0042918,0.0,0.0,0.0076923,0.0,0.0024938
Ruby-cheeked Sunbird,0.0,0.0066445,0.0063091,0.0049628,0.0031746,0.0,0.0,0.0,0.003937,0.0115385,0.0,0.0
Purple-rumped Sunbird,0.0965517,0.1295681,0.1041009,0.1141439,0.047619,0.0568182,0.1158798,0.1011905,0.0551181,0.0653846,0.0508982,0.0947631
Purple Sunbird,0.1517241,0.179402,0.1514196,0.133995,0.1333333,0.1325758,0.1587983,0.139881,0.1535433,0.1269231,0.1017964,0.127182
Crimson Sunbird,0.0,0.0,0.0,0.0,0.0031746,0.0037879,0.0,0.0,0.0,0.0,0.0,0.0
sunbird sp.,0.0068966,0.0066445,0.0063091,0.0099256,0.0,0.0113636,0.0085837,0.0029762,0.011811,0.0076923,0.005988,0.0024938
Little Spiderhunter,0.0,0.0,0.0,0.0024814,0.0,0.0,0.0042918,0.0089286,0.003937,0.0,0.002994,0.0
spiderhunter sp.,0.0,0.0,0.0,0.0,0.0,0.0037879,0.0,0.0,0.0,0.0,0.0,0.0
Blue-winged Leafbird,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Golden-fronted Leafbird,0.0034483,0.0,0.0,0.0024814,0.0031746,0.0037879,0.0042918,0.0015,0.0,0.0,0.0,0.0
Streaked Weaver,0.0,0.0,0.0031546,0.0,0.0,0.0,0.0,0.0059524,0.0,0.0038462,0.002994,0.0024938
Baya Weaver,0.0482759,0.0564784,0.0694006,0.0421836,0.0603175,0.0530303,0.0472103,0.0625,0.0826772,0.0846154,0.0838323,0.0548628
Black-breasted Weaver,0.0,0.0,0.0,0.0099256,0.0031746,0.0,0.0085837,0.0178571,0.019685,0.0192308,0.0149701,0.0124688
Ploceus sp.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029762,0.0,0.0,0.0,0.0
Indian Silverbill,0.1137931,0.1229236,0.148265,0.1315136,0.0825397,0.0984848,0.1072961,0.1011905,0.0866142,0.0576923,0.0748503,0.0822943
Scaly-breasted Munia,0.0758621,0.10299,0.1167192,0.0843672,0.0920635,0.125,0.0987124,0.1041667,0.1417323,0.0846154,0.1137725,0.0798005
White-rumped Munia,0.0068966,0.0066445,0.0126183,0.0148883,0.0031746,0.0037879,0.0042918,0.0238095,0.0,0.0038462,0.005988,0.0149626
Tricolored Munia,0.037931,0.0531561,0.044164,0.0173697,0.0285714,0.0340909,0.0171674,0.0119048,0.015748,0.0230769,0.0149701,0.0124688
Chestnut Munia,0.0896552,0.1196013,0.1388013,0.1091811,0.1269841,0.1287879,0.0643777,0.077381,0.0826772,0.0538462,0.0568862,0.0299252
Lonchura sp.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038462,0.0,0.0
Red Avadavat,0.0206897,0.0365449,0.0473186,0.0595533,0.0507937,0.0530303,0.0085837,0.0386905,0.0354331,0.0346154,0.0239521,0.0174564
House Sparrow,0.6827586,0.6910299,0.7003155,0.6650124,0.552381,0.6022727,0.6309013,0.6011905,0.6259843,0.55,0.5269461,0.5735661
Eurasian Tree Sparrow,0.0068966,0.0033223,0.0063091,0.0,0.0,0.0113636,0.0015,0.0,0.003937,0.0,0.0,0.0
Passer sp.,0.0,0.0033223,0.0031546,0.0024814,0.0,0.0,0.0042918,0.0,0.0,0.0,0.0,0.0
Forest Wagtail,0.0,0.0066445,0.0015,0.0,0.0,0.0037879,0.0,0.0,0.0015,0.0,0.0,0.0
Gray Wagtail,0.0655172,0.0697674,0.0694006,0.0620347,0.0349206,0.0378788,0.0729614,0.0327381,0.0511811,0.0153846,0.0389222,0.0349127
Western Yellow Wagtail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eastern Yellow Wagtail,0.0241379,0.0431894,0.0410095,0.0421836,0.0603175,0.0378788,0.0257511,0.0595238,0.0787402,0.0884615,0.0958084,0.0897756
Western/Eastern Yellow Wagtail,0.0137931,0.0166113,0.0157729,0.0173697,0.015873,0.0189394,0.0085837,0.0208333,0.0314961,0.0192308,0.0389222,0.0099751
Citrine Wagtail,0.037931,0.0697674,0.1009464,0.0918114,0.1015873,0.1060606,0.0944206,0.0982143,0.1338583,0.1269231,0.1556886,0.1097257
White-browed Wagtail,0.0448276,0.0531561,0.0630915,0.0471464,0.0539683,0.0265152,0.0515021,0.0505952,0.0275591,0.05,0.0239521,0.0349127
White Wagtail,0.2551724,0.3089701,0.4037855,0.3995037,0.3396825,0.3787879,0.3133047,0.3154762,0.3149606,0.35,0.2904192,0.3067332
wagtail sp.,0.0448276,0.0332226,0.0536278,0.0397022,0.0285714,0.0340909,0.0128755,0.0178571,0.023622,0.0307692,0.0209581,0.0274314
Richard's Pipit,0.0137931,0.0232558,0.0378549,0.0397022,0.0412698,0.0492424,0.0343348,0.0297619,0.0354331,0.0423077,0.0359281,0.0199501
Paddyfield Pipit,0.0586207,0.0863787,0.1230284,0.0794045,0.0698413,0.0909091,0.0858369,0.077381,0.0669291,0.0884615,0.0988024,0.0947631
Richard's/Paddyfield Pipit,0.0034483,0.0033223,0.0063091,0.0024814,0.0031746,0.0037879,0.0042918,0.0029762,0.0,0.0038462,0.005988,0.0
Blyth's Pipit,0.0,0.0066445,0.0,0.0024814,0.0063492,0.0151515,0.0,0.0059524,0.003937,0.0076923,0.005988,0.0049875
Rosy Pipit,0.0,0.0,0.0,0.0,0.0,0.0075758,0.0042918,0.0059524,0.007874,0.0,0.008982,0.0024938
Olive-backed Pipit,0.0206897,0.0531561,0.0851735,0.0967742,0.0730159,0.0984848,0.0643777,0.0535714,0.0669291,0.0576923,0.0299401,0.0548628
Red-throated Pipit,0.0,0.0033223,0.0031546,0.0198511,0.0031746,0.0075758,0.0,0.0059524,0.003937,0.0,0.002994,0.0074813
pipit sp.,0.0034483,0.0033223,0.0031546,0.0124069,0.0126984,0.0113636,0.0,0.0029762,0.003937,0.0115385,0.0149701,0.0074813
Common Rosefinch,0.0,0.0,0.0,0.0,0.0,0.0037879,0.0042918,0.0,0.0,0.0,0.0,0.0
Crested Bunting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black-headed Bunting,0.0,0.0,0.0,0.0,0.0063492,0.0,0.0,0.0,0.0,0.0,0.0,0.0024938
Chestnut-eared Bunting,0.0,0.0,0.0,0.0,0.0031746,0.0,0.0,0.0,0.003937,0.0,0.0,0.0
Yellow-breasted Bunting,0.0,0.0,0.0,0.0,0.0031746,0.0,0.0,0.0029762,0.0,0.0,0.002994,0.0
Little Bunting,0.0,0.0033223,0.0031546,0.0,0.0,0.0,0.0,0.0,0.007874,0.0,0.0,0.0
Black-faced Bunting,0.0,0.0,0.0,0.0,0.0,0.0075758,0.0042918,0.0029762,0.0,0.0,0.0,0.0
Emberiza sp.,0.0034483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
passerine sp.,0.0068966,0.013289,0.0063091,0.0124069,0.0,0.0,0.0085837,0.0,0.007874,0.0,0.0,0.0049875
